ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co_applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
25686,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,116500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,1140,EQUI,513,EXP,45-54,to_inst,,North,direct,1,
25860,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,276500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,11640,EQUI,603,EXP,35-44,not_inst,,North,direct,1,
25876,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,136500,,,,180,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2160,EQUI,894,EXP,45-54,not_inst,,North,direct,1,
25941,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,496500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,4920,EQUI,754,EXP,35-44,to_inst,,North,direct,1,
25955,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,486500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,7980,EQUI,829,EXP,35-44,not_inst,,North,direct,1,
25976,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,366500,,,,360,not_neg,int_only,not_lpsm,,sb,pr,home,1U,4200,EQUI,805,EXP,35-44,not_inst,,south,direct,1,
26055,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,126500,,,,180,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3660,EQUI,548,EXP,55-64,to_inst,,central,direct,1,
26058,2019,cf,Male,pre,type2,p1,l1,nopc,b/c,126500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3000,EQUI,564,EXP,45-54,to_inst,,North,direct,1,
26065,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,586500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8100,EQUI,872,EXP,45-54,to_inst,,central,direct,1,
26077,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,106500,,,,,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3420,EQUI,824,EXP,65-74,to_inst,,south,direct,1,
26083,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,166500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3420,EQUI,514,EXP,45-54,to_inst,,south,direct,1,
26147,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,216500,,,,180,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3900,EQUI,729,EXP,55-64,to_inst,,central,direct,1,
26187,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,276500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3600,EQUI,724,EXP,35-44,to_inst,,North,direct,1,
26188,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,96500,,,,360,not_neg,not_int,not_lpsm,,sb,ir,home,1U,2040,EQUI,728,EXP,45-54,to_inst,,south,direct,1,
26197,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,256500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,3060,EQUI,671,EXP,>74,to_inst,,south,direct,1,
26224,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,406500,,,,240,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8100,EQUI,683,EXP,55-64,to_inst,,North,direct,1,
26229,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,366500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,5220,EQUI,665,EXP,<25,not_inst,,south,direct,1,
26241,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,346500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8880,EQUI,552,EXP,25-34,to_inst,,North,direct,1,
26280,2019,ncf,Male,nopre,type1,p1,l1,nopc,nob/c,566500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,22680,EQUI,511,EXP,65-74,to_inst,,North,direct,1,
26291,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,336500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3780,EQUI,797,EXP,55-64,not_inst,,North,direct,1,
26311,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,246500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,6480,EQUI,546,EXP,35-44,to_inst,,south,direct,1,
26354,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,226500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3360,EQUI,892,EXP,65-74,to_inst,,North,direct,1,
26364,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,496500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6600,EQUI,856,EXP,35-44,not_inst,,south,direct,1,
26481,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,186500,,,,156,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,2760,EQUI,552,EXP,55-64,to_inst,,North,direct,1,
26498,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,136500,,,,180,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3000,EQUI,610,EXP,55-64,to_inst,,south,direct,1,
26511,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,696500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,11640,EQUI,638,EXP,25-34,not_inst,,North,direct,1,
26584,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,476500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,7740,EQUI,837,EXP,45-54,not_inst,,south,direct,1,
26601,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,4260,EQUI,649,EXP,25-34,not_inst,,south,direct,1,
26618,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,126500,,,,180,not_neg,int_only,not_lpsm,,sb,pr,home,1U,1920,EQUI,710,EXP,65-74,to_inst,,North,direct,1,
26625,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,206500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3000,EQUI,603,EXP,45-54,to_inst,,North,direct,1,
26641,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,306500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,8040,EQUI,660,EXP,55-64,to_inst,,North,direct,1,
26662,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,106500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,1080,EQUI,739,EXP,65-74,to_inst,,North,direct,1,
26668,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,146500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3060,EQUI,550,EXP,35-44,to_inst,,North,direct,1,
26693,2019,ncf,Male,nopre,type1,p3,l1,nopc,nob/c,436500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8760,EQUI,753,EXP,>74,to_inst,,North,direct,1,
26703,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,176500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3300,EQUI,530,EXP,>74,to_inst,,North,direct,1,
26726,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,216500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2700,EQUI,835,EXP,65-74,to_inst,,North,direct,1,
26903,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,366500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,6180,EQUI,779,EXP,45-54,to_inst,,North,direct,1,
26928,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,596500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7500,EQUI,685,EXP,25-34,not_inst,,south,direct,1,
26958,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,596500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7140,EQUI,805,EXP,25-34,not_inst,,North,direct,1,
26960,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,286500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3000,EQUI,867,EXP,>74,to_inst,,North,direct,1,
26974,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,106500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,1440,EQUI,601,EXP,65-74,to_inst,,North,direct,1,
26980,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,506500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,4680,EQUI,780,EXP,35-44,not_inst,,North,direct,1,
27032,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,416500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5700,EQUI,515,EXP,35-44,not_inst,,south,direct,1,
27063,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,466500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,6060,EQUI,615,EXP,45-54,not_inst,,North,direct,1,
27082,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,326500,,,,360,not_neg,int_only,not_lpsm,,sb,pr,home,1U,8820,EQUI,588,EXP,45-54,not_inst,,central,direct,1,
27116,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,96500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3600,EQUI,564,EXP,45-54,to_inst,,North,direct,1,
27122,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,436500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9660,EQUI,687,EXP,35-44,not_inst,,North,direct,1,
27147,2019,ncf,Male,nopre,type1,p3,l1,nopc,nob/c,756500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,12000,EQUI,862,EXP,45-54,to_inst,,North,direct,1,
27175,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,236500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3720,EQUI,784,EXP,35-44,not_inst,,North,direct,1,
27219,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,196500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3180,EQUI,504,EXP,25-34,to_inst,,North,direct,1,
27254,2019,cf,Male,pre,type2,p1,l1,nopc,b/c,156500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2460,EQUI,564,EXP,35-44,to_inst,,south,direct,1,
27276,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,1186500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,4U,75240,EQUI,877,EXP,45-54,not_inst,,south,direct,1,
27402,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,196500,,,,276,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,4260,EQUI,512,EXP,35-44,to_inst,,North,direct,1,
27435,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,416500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5580,EQUI,636,EXP,45-54,not_inst,,North,direct,1,
27469,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,126500,,,,180,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7200,EQUI,808,EXP,65-74,to_inst,,North,direct,1,
27480,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,166500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5520,EQUI,723,EXP,55-64,not_inst,,North,direct,1,
27587,2019,,Male,nopre,type1,p1,l1,nopc,nob/c,366500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,7680,EQUI,518,EXP,35-44,to_inst,,North,direct,1,
27633,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,266500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,6480,EQUI,855,EXP,25-34,to_inst,,North,direct,1,
27637,2019,cf,Male,nopre,type1,p1,l2,nopc,nob/c,226500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,14100,EQUI,764,EXP,45-54,to_inst,,south,direct,1,
27640,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,326500,,,,180,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9060,EQUI,802,EXP,45-54,to_inst,,North,direct,1,
27659,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,526500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6900,EQUI,642,EXP,35-44,not_inst,,North,direct,1,
27671,2019,cf,Male,nopre,type2,p4,l1,nopc,b/c,216500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0,EQUI,645,EXP,35-44,not_inst,,central,direct,1,
27711,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,536500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7140,EQUI,822,EXP,35-44,not_inst,,south,direct,1,
27750,2019,cf,Male,nopre,type3,p1,l2,nopc,nob/c,406500,,,,300,neg_amm,int_only,not_lpsm,,sb,pr,home,1U,5700,EQUI,821,EXP,25-34,to_inst,,North,direct,1,
27758,2019,ncf,Male,nopre,type1,p1,l1,nopc,nob/c,106500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2100,EQUI,800,EXP,45-54,to_inst,,south,direct,1,
27770,2019,cf,Male,nopre,type1,p1,l2,nopc,nob/c,186500,,,,300,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3000,EQUI,697,EXP,35-44,not_inst,,North,direct,1,
27881,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,36500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,2U,7020,EQUI,836,EXP,45-54,to_inst,,North,direct,1,
27882,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,486500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6960,EQUI,775,EXP,25-34,not_inst,,North,direct,1,
27904,2019,cf,Male,nopre,type3,p3,l2,nopc,nob/c,486500,,,,300,neg_amm,int_only,not_lpsm,,sb,pr,home,1U,3960,EQUI,891,EXP,35-44,to_inst,,south,direct,1,
27909,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,166500,,,,180,not_neg,not_int,lpsm,,sb,pr,home,1U,2820,EQUI,848,EXP,35-44,to_inst,,south,direct,1,
27922,2019,cf,Male,nopre,type1,p2,l1,nopc,nob/c,706500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,10680,EQUI,715,EXP,25-34,not_inst,,south,direct,1,
27936,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,476500,,,,360,not_neg,not_int,not_lpsm,,sb,sr,home,1U,17940,EQUI,689,EXP,45-54,to_inst,,North,direct,1,
27946,2019,ncf,Male,nopre,type3,p4,l2,nopc,nob/c,1146500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0,EQUI,882,EXP,65-74,not_inst,,North,direct,1,
27955,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,436500,,,,312,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7680,EQUI,807,EXP,45-54,to_inst,,North,direct,1,
27999,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,316500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6000,EQUI,557,EXP,45-54,not_inst,,North,direct,1,
28004,2019,cf,Male,nopre,type1,p4,l2,nopc,nob/c,486500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6660,EQUI,716,EXP,35-44,not_inst,,south,direct,1,
28011,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,106500,,,,240,not_neg,not_int,not_lpsm,,sb,sr,home,1U,3600,EQUI,557,EXP,55-64,to_inst,,North,direct,1,
28029,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,376500,,,,360,not_neg,not_int,not_lpsm,,sb,ir,home,1U,6360,EQUI,643,EXP,55-64,not_inst,,North,direct,1,
28069,2019,cf,Male,nopre,type3,p3,l2,nopc,nob/c,266500,,,,300,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3000,EQUI,723,EXP,>74,to_inst,,North,direct,1,
28115,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,216500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2700,EQUI,561,EXP,25-34,not_inst,,south,direct,1,
28161,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,636500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9600,EQUI,771,EXP,35-44,not_inst,,south,direct,1,
28179,2019,cf,Male,pre,type3,p1,l1,nopc,nob/c,186500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,1560,EQUI,622,EXP,65-74,to_inst,,North-East,direct,1,
28250,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,266500,,,,360,not_neg,not_int,not_lpsm,,sb,ir,home,1U,9600,EQUI,574,EXP,55-64,not_inst,,North,direct,1,
28253,2019,,Male,nopre,type2,p1,l1,nopc,b/c,386500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,8280,EQUI,751,EXP,>74,to_inst,,North,direct,1,
28284,2019,cf,Male,nopre,type1,p2,l1,nopc,nob/c,106500,,,,240,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5340,EQUI,662,EXP,55-64,to_inst,,North,direct,1,
28285,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,436500,,,,360,not_neg,int_only,not_lpsm,,sb,pr,home,1U,5280,EQUI,624,EXP,25-34,to_inst,,North,direct,1,
28303,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,226500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3060,EQUI,625,EXP,>74,to_inst,,North-East,direct,1,
28334,2019,cf,Male,nopre,type2,p4,l1,nopc,b/c,546500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0,EQUI,743,EXP,45-54,not_inst,,central,direct,1,
28392,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,306500,,,,120,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7320,EQUI,876,EXP,45-54,to_inst,,central,direct,1,
28422,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,296500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,2760,EQUI,880,EXP,25-34,to_inst,,North,direct,1,
28430,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,256500,,,,180,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,9120,EQUI,757,EXP,45-54,to_inst,,North,direct,1,
28438,2019,ncf,Male,pre,type1,p1,l1,nopc,nob/c,246500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2460,EQUI,503,EXP,55-64,not_inst,,south,direct,1,
28440,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,126500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,2460,EQUI,517,EXP,35-44,to_inst,,North,direct,1,
28479,2019,ncf,Male,pre,type1,p1,l1,nopc,nob/c,236500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8820,EQUI,840,EXP,55-64,to_inst,,North,direct,1,
28494,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,186500,,,,300,not_neg,int_only,not_lpsm,,sb,pr,home,1U,3060,EQUI,777,EXP,65-74,to_inst,,North,direct,1,
28509,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,476500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,5820,EQUI,512,EXP,25-34,not_inst,,North,direct,1,
28581,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,256500,,,,360,not_neg,not_int,not_lpsm,,sb,ir,home,1U,4500,EQUI,541,EXP,55-64,not_inst,,North,direct,1,
28637,2019,ncf,Male,nopre,type1,p1,l1,nopc,nob/c,176500,,,,324,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,16980,EQUI,594,EXP,65-74,to_inst,,North,direct,1,
28651,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,236500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3600,EQUI,803,EXP,35-44,to_inst,,south,direct,1,
28655,2019,ncf,Male,pre,type1,,l1,nopc,nob/c,1366500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,18000,EQUI,643,EXP,45-54,to_inst,,North,direct,1,
28658,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,416500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,4440,EQUI,660,EXP,55-64,to_inst,,North,direct,1,
28719,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,316500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9960,EQUI,671,EXP,35-44,to_inst,,south,direct,1,
28727,2019,ncf,Male,nopre,type1,p4,l1,nopc,nob/c,186500,,,,240,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,6360,EQUI,515,EXP,25-34,to_inst,,North,direct,1,
28730,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,96500,,,,360,not_neg,not_int,not_lpsm,,sb,sr,home,1U,3180,EQUI,863,EXP,35-44,to_inst,,North,direct,1,
28769,2019,cf,Male,nopre,type3,p3,l2,nopc,nob/c,116500,,,,240,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2760,EQUI,819,EXP,65-74,to_inst,,central,direct,1,
28784,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,226500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3120,EQUI,878,EXP,65-74,not_inst,,North,direct,1,
